geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,competitor_activity_score_control,sentiment_score_control,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,conversions,revenue_per_conversion,population,Channel3_reach,Channel3_frequency
Geo1,2021-01-25,3032222,1231504,763547,20079,-5.008938429921289,1.5859794617271563,34379.99271484209,14909.156837197683,9766.796680957412,401.3544589077713,19017422,0.03546103235814313,941246.6,19677,1.013617434923228
Geo1,2021-02-01,2785726,1548826,1290290,427197,-1.7363507633543387,-3.320986281957491,31183.396745944963,16407.968090428345,15631.241095402702,4807.014843530854,12329216,0.03522863295542442,941246.6,342621,1.2515934128993789
Geo1,2021-02-08,2811963,1705898,993694,557163,-4.173057009388394,-1.9745875872286387,31848.477182894585,20008.9374716122,12499.23719551969,6909.994637399191,14298155,0.03524475175142493,941246.6,419916,1.4769398569189556
Geo1,2021-02-15,3515228,754897,678398,900018,1.87177273620556,6.448388956324841,40964.83285671373,8113.047904323084,7848.806798571083,10809.35948105439,29734896,0.034608232903326895,941246.6,579988,1.5204146940949417
Geo1,2021-02-22,1612454,1569929,326453,2242985,0.8556527753727212,5.195667167627742,18651.509066577317,18353.4054499164,3015.373849498047,27836.64302892845,27560305,0.03538595305340182,941246.6,854286,2.697679937125307
Geo1,2021-03-01,1911333,1240176,1689618,827465,-1.178922195897912,-1.9103898276249125,19180.975697741575,13603.633372849969,20547.801035312397,9139.70145848471,20612353,0.03539357653541932,941246.6,550383,1.5480403472837654
Geo1,2021-03-08,2046755,1466487,1373482,782724,2.6494851784142073,0.9379904363493708,24175.97105233066,16167.73612236192,15962.104471075692,8593.871575724126,26163486,0.03475321585673104,941246.6,531624,1.497267498982552
Geo1,2021-03-15,559276,403590,1241255,355948,-0.32152438810348516,-7.2977971368477,6000.435509229698,3647.025937187947,14132.237997352151,5017.789572175895,9493834,0.0347034110920525,941246.6,296325,1.1884568768624288
Geo1,2021-03-22,2409045,569837,1995932,695401,0.07232899961161302,0.6101655031270825,28089.233795332355,6613.138375704023,22749.38202023667,8122.018071693223,18823411,0.035186234590810606,941246.6,491101,1.4004448656331943
Geo1,2021-03-29,2546174,1139843,1035539,225635,4.264875246958011,-0.7860094685732888,28232.61584706311,12976.885929900664,12972.971683816275,2516.4227812141053,24052966,0.03542569415422017,941246.6,200676,1.0971808441026498
Geo1,2021-04-05,2894172,1442018,857524,874426,3.0283402040479275,0.1310595077704081,32755.134905050476,15812.78697694061,10466.733459463163,10024.698457150638,23518976,0.034911635204084183,941246.6,569146,1.578798287126127
Geo1,2021-04-12,2470223,1392145,1509377,1084501,-2.5259439137789172,6.3317225305042895,27855.243510025673,16472.657562222626,18771.498510437334,13339.960880032833,26154331,0.03497477160573372,941246.6,643732,1.8199392747768512
Geo1,2021-04-19,2508499,1139756,1455592,809666,0.8538976097669548,3.624866476599215,27159.734371242193,12544.315914510784,15766.076404533807,10383.670016697344,26052406,0.03467763437143066,941246.6,542499,1.374271563783454
Geo1,2021-04-26,2779114,920362,1070404,237255,0.822376062783035,-3.0418405891580997,31783.42468691431,11919.389543267602,13413.81986849579,2827.3636487367075,17402375,0.03488341908877524,941246.6,209333,1.1249940596021222
Geo1,2021-05-03,2082208,1949739,1686586,133693,-3.7344020618985363,-1.3710119153558242,23290.88683356651,21546.33579502309,20570.271898558338,1340.7104358627023,14088290,0.03449463507881534,941246.6,124697,0.9782462679424895
Geo1,2021-05-10,178740,1437296,552602,1210516,3.407656700509716,0.7184735677755032,2009.8895655937893,15684.574552593282,6692.3620737711235,13952.410251337396,21292915,0.03517129950747464,941246.6,681191,1.8795407232010637
Geo1,2021-05-17,1997596,1078742,1360012,84134,3.493520582549146,7.755700409316949,23797.59807451653,12722.72111812299,16857.754217472087,239.6511534855033,30409233,0.03496442129956984,941246.6,80565,0.9897892979634728
Geo1,2021-05-24,3041435,2480869,1399980,1657862,2.208785056215538,-1.7417185727859166,33479.82358533897,28403.771521466526,16646.554107200584,20264.314141685532,17765329,0.03473402460066332,941246.6,780036,2.1173062744218547
Geo1,2021-05-31,1955093,1417281,519865,1210548,-0.5418920931530873,-1.1444049372998228,21811.967824891297,15827.650452183787,5375.451852571997,14251.05215966837,19137474,0.03470619290195917,941246.6,681326,1.7712066902358732
Geo1,2021-06-07,2376346,1054415,694589,1187889,-4.98918512737127,-1.6525212801776223,26517.350613555016,11179.657524066133,7991.353549477888,14494.943705094196,14982370,0.03518646495418867,941246.6,675534,1.643324387805834
Geo1,2021-06-14,1987496,800863,2112223,1466093,4.666789039452288,-0.4787028885923862,22376.654989218645,8746.489693769485,25775.39515889229,18072.56775649282,23223285,0.03500744860424342,941246.6,743167,1.8368695367981414
Geo1,2021-06-21,2104978,884156,656113,1,-0.49957453742660785,6.876159998019632,22912.71732403451,9813.096268088837,7647.535153141309,-832.5746973610228,27900903,0.035136690460749215,941246.6,61,0.014032169385419326
Geo1,2021-06-28,2646460,796697,1282734,1201446,0.18532615120779744,-2.2238915655723632,28825.681190050826,8775.331581947119,14200.469344408415,14297.263362021866,16885643,0.03506185419066252,941246.6,678505,1.8817287149480948
Geo1,2021-07-05,2449247,1661650,540237,2102204,2.542136952353882,4.2355818638963685,26891.08792563965,18632.749402158173,7243.788221099049,24020.091405582687,27347983,0.03504472803966845,941246.6,840390,2.365125307762933
Geo1,2021-07-12,1224238,65671,737326,1496818,2.748202591932809,6.998592664952993,14848.470907800387,-820.6725856629936,7967.0449190799345,16926.242215456623,30253963,0.035175179443966566,941246.6,749628,1.941504106392034
Geo1,2021-07-19,2558469,671651,1484944,232223,1.7271154929855967,1.9602913195450227,29033.260535163998,8446.667899775824,17480.644369971495,1824.3101835411326,19286996,0.03542539626024633,941246.6,205465,1.01920021646969
